algorithm,run,seed,noise_label,best_true_f,best_observed_f,x1,x2,feasible,evaluations,param_initial_temp,param_cooling_rate,param_step_size,param_min_temp,param_population_size,param_elite_fraction,param_crossover_rate,param_mutation_step,param_mutation_decay,param_min_mutation_step,param_tournament_size,param_initial_step,param_min_step,param_base_samples,param_max_samples,param_ambiguity_z
SA,29,20289863,hetero,-0.7293071742127448,-1.24192354980338,0.8423817856585818,0.5388811809579724,1,2000,1.0,0.995,0.18,0.0001,,,,,,,,,,,,
GA,29,20389866,hetero,-0.6996110839369967,-1.2055825294397793,0.8264448018942883,0.5630177523150675,1,2000,,,,,40,0.1,0.85,0.2,0.985,0.015,3,,,,,
ARS,29,20489869,hetero,-0.6993077959126213,-1.1733488970950732,0.811187063967364,0.5079431767979026,1,2000,0.8,0.996,,,,,,,,,,0.2,0.015,2,8,1.0
SA,30,20290872,hetero,-0.7294581886510589,-1.2816823673251698,0.8469241148054257,0.5317137799239793,1,2000,1.0,0.995,0.18,0.0001,,,,,,,,,,,,
GA,30,20390875,hetero,-0.7194903112305544,-1.256706981321559,0.8551426423427786,0.5183927673559986,1,2000,,,,,40,0.1,0.85,0.2,0.985,0.015,3,,,,,
ARS,30,20490878,hetero,-0.7282150942255661,-1.0217667112185187,0.8406307751817295,0.5416086223624627,1,2000,0.8,0.996,,,,,,,,,,0.2,0.015,2,8,1.0
SA,31,20291881,hetero,-0.4416733758629209,-1.1874204521566414,0.8970060577127666,0.43952467568068676,1,2000,1.0,0.995,0.18,0.0001,,,,,,,,,,,,
GA,31,20391884,hetero,-0.7249621154376656,-1.387223569916698,0.8519531415681298,0.5236180330853724,1,2000,,,,,40,0.1,0.85,0.2,0.985,0.015,3,,,,,
ARS,31,20491887,hetero,-0.7202469421898634,-0.9397867456475902,0.854764583166679,0.5190159028044262,1,2000,0.8,0.996,,,,,,,,,,0.2,0.015,2,8,1.0
SA,32,20292890,hetero,-0.653890868833615,-1.243081654601857,0.8722520985546596,0.48905651674115597,1,2000,1.0,0.995,0.18,0.0001,,,,,,,,,,,,
GA,32,20392893,hetero,-0.7000554656293131,-1.30410366681553,0.8265851049011155,0.5628117485941564,1,2000,,,,,40,0.1,0.85,0.2,0.985,0.015,3,,,,,
ARS,32,20492896,hetero,-0.729875383745879,-1.0341429319140416,0.8447798482067967,0.5351140140789639,1,2000,0.8,0.996,,,,,,,,,,0.2,0.015,2,8,1.0
SA,33,20293899,hetero,-0.651154025242034,-1.2952674204722547,0.872731458920808,0.4882005741597997,1,2000,1.0,0.995,0.18,0.0001,,,,,,,,,,,,
